score;departement;ville;nom;enseignes;code_naf;dirigeant;age;qualite;chiffre_affaires;resultat;annee_comptes;effectif;date_creation;nb_etablissements;siren;adresse;url_pappers;url_annuaire
95;75;PARIS;J F DH INTERIM;;78.20Z;Saint-Yves Calixte JEAN-MARIE-DESIRÉE;72;Directeur Général;3810030;55550;2024;1-2;2001-06-18;3;438173056;130 RUE DU FAUBOURG POISSONNIERE 75010 PARIS;https://www.pappers.fr/entreprise/j-f-dh-interim-438173056;https://annuaire-entreprises.data.gouv.fr/entreprise/438173056
95;75;PARIS;AMP1;;78.20Z;William Littlejohn MORTIMER;80;Président de SAS;3770811;185423;2022;10-19;1999-04-15;7;423406347;26 BOULEVARD MALESHERBES 75008 PARIS;https://www.pappers.fr/entreprise/amp1-423406347;https://annuaire-entreprises.data.gouv.fr/entreprise/423406347
95;75;PARIS;MALLIS INTERIM;;78.20Z;Patrice Jacques Andre VENELLE;66;Gérant;3588499;109470;2021;6-9;1983-06-01;2;328202205;237 A 239 237 BOULEVARD VOLTAIRE 75011 PARIS;https://www.pappers.fr/entreprise/mallis-interim-328202205;https://annuaire-entreprises.data.gouv.fr/entreprise/328202205
90;75;PARIS;GIE BELLEVILLE;;78.30Z;Joel BONENFANT;60;Contrôleur de gestion;21422340;;2024;100-199;1986-01-01;1;334993748;4 BOULEVARD DE LA VILLETTE 75019 PARIS;https://www.pappers.fr/entreprise/gie-belleville-334993748;https://annuaire-entreprises.data.gouv.fr/entreprise/334993748
90;75;PARIS;NEW MADISON;;78.10Z;Frederic BENFAID;64;Président de SAS;10880453;102840;2024;10-19;2004-03-01;5;452626617;28 RUE BOISSY D'ANGLAS 75008 PARIS;https://www.pappers.fr/entreprise/new-madison-452626617;https://annuaire-entreprises.data.gouv.fr/entreprise/452626617
90;75;PARIS;ANIMUS;;78.10Z;Eric Herve Jean-Marie Joseph Jacques PERCEVAL;64;Président de SAS;10528857;13647;2025;20-49;1997-01-02;4;410140818;6 RUE SAINT-CLAUDE 75003 PARIS;https://www.pappers.fr/entreprise/animus-410140818;https://annuaire-entreprises.data.gouv.fr/entreprise/410140818
90;75;PARIS;SOC GESTION RES DEFENSE (SGRD);;78.30Z;Rebecca HOLLANTS VAN LOOCKE;63;Directeur Général;5484932;783556;2024;50-99;2004-02-02;1;452034192;38 RUE DES MATHURINS 75008 PARIS;https://www.pappers.fr/entreprise/soc-gestion-res-defense-sgrd-452034192;https://annuaire-entreprises.data.gouv.fr/entreprise/452034192
90;75;PARIS;HACOR SERVICES;;78.20Z;Saint-Yves Calixte JEAN-MARIE DESIREE;72;Gérant;4699911;-60557;2022;0;2006-12-01;3;493597546;6 PASSAGE TURQUETIL 75011 PARIS;https://www.pappers.fr/entreprise/hacor-services-493597546;https://annuaire-entreprises.data.gouv.fr/entreprise/493597546
90;75;PARIS;SBC AVIGNON;;78.20Z;Albert SULTAN;66;Directeur Général;3089575;-51153;2025;10-19;2009-12-15;4;519260442;13 BOULEVARD DE COURCELLES 75008 PARIS;https://www.pappers.fr/entreprise/sbc-avignon-519260442;https://annuaire-entreprises.data.gouv.fr/entreprise/519260442
90;75;PARIS;LCI SBC;;78.20Z;Albert SULTAN;66;Directeur Général;2969890;-140352;2025;10-19;2009-12-15;3;519260426;13 BOULEVARD DE COURCELLES 75008 PARIS;https://www.pappers.fr/entreprise/lci-sbc-519260426;https://annuaire-entreprises.data.gouv.fr/entreprise/519260426
85;75;PARIS;HURA PORTAGE GRAND PARIS;;78.30Z;Patrick CANTELLI;63;Gérant;6770228;2633;2024;50-99;2015-04-01;2;810607283;103 RUE JOUFFROY D'ABBANS 75017 PARIS;https://www.pappers.fr/entreprise/hura-portage-grand-paris-810607283;https://annuaire-entreprises.data.gouv.fr/entreprise/810607283
85;75;PARIS;ABIL RESSOURCES;;78.20Z;Laurent SCHNEPF;62;Directeur Général;2828566;86079;2024;10-19;2005-06-10;6;483304812;82-84 BOULEVARD HAUSSMANN 75008 PARIS;https://www.pappers.fr/entreprise/abil-ressources-energy-control-483304812;https://annuaire-entreprises.data.gouv.fr/entreprise/483304812
85;75;PARIS;BLUE SEARCH CONSEIL SARL;;78.30Z;Pierre Georges Victor CANNET;60;Président de SAS;2719998;512971;2022;10-19;1999-11-19;3;428166201;10 B BOULEVARD DE LA BASTILLE 75012 PARIS;https://www.pappers.fr/entreprise/blue-search-conseil-sarl-428166201;https://annuaire-entreprises.data.gouv.fr/entreprise/428166201
85;75;PARIS;ETABLISSEMENTS SARRADE ET GALTIER;;78.30Z;Laurence Marie-Pierre GALTIER;65;Directeur Général;1969631;878053;2025;6-9;1955-01-01;2;552029100;181 AVENUE VICTOR HUGO 75016 PARIS;https://www.pappers.fr/entreprise/etablissements-sarrade-et-galtier-552029100;https://annuaire-entreprises.data.gouv.fr/entreprise/552029100
85;75;PARIS;HURA GROUP;;78.30Z;Eric FERRIER;69;Administrateur;1390609;-27551;2024;10-19;2005-12-15;4;487793879;103 RUE JOUFFROY D'ABBANS 75017 PARIS;https://www.pappers.fr/entreprise/hura-group-487793879;https://annuaire-entreprises.data.gouv.fr/entreprise/487793879
85;75;PARIS;ARCHIBAT SERVICE;ARCHIBAT SERVICE;78.10Z;Dominique NOEL;66;Président de SAS;1016257;-166309;2024;6-9;1986-12-01;10;339412561;33 AVENUE PHILIPPE-AUGUSTE 75011 PARIS;https://www.pappers.fr/entreprise/archibat-service-339412561;https://annuaire-entreprises.data.gouv.fr/entreprise/339412561
80;75;PARIS;E.S.T.I.M 96;;78.20Z;Zakia BADAOUI (KOURDI );58;Président de SAS;20076067;233468;2025;6-9;1996-06-15;10;407759992;96 RUE DE MONTREUIL 75011 PARIS;https://www.pappers.fr/entreprise/e-s-t-i-m-96-407759992;https://annuaire-entreprises.data.gouv.fr/entreprise/407759992
80;75;PARIS;ERIC SALMON ET PARTNERS;;78.10Z;Albérique Marie Aurélie JABALOT (PEYREDIEU DU CHARLAT);52;Président de SAS;13268425;737800;2025;20-49;1990-12-10;4;380375634;8-10 8 RUE LAMENNAIS 75008 PARIS;https://www.pappers.fr/entreprise/eric-salmon-et-partners-380375634;https://annuaire-entreprises.data.gouv.fr/entreprise/380375634
80;75;PARIS;CARELEC INTERIM;;78.20Z;Arnaud SUISSA;52;Président de SAS;8160505;-27858;2024;6-9;2005-08-01;5;483804118;39 A 41 39 AVENUE PHILIPPE-AUGUSTE 75011 PARIS;https://www.pappers.fr/entreprise/carelec-interim-483804118;https://annuaire-entreprises.data.gouv.fr/entreprise/483804118
80;75;PARIS;MONCEAU CARRIERES - FRANCOIS SANCHEZ CONSULTANTS;;78.10Z;Guillaume VITAL;54;Président de SAS;5842283;4543;2024;20-49;1999-07-12;4;423611128;106 RUE LA BOETIE 75008 PARIS;https://www.pappers.fr/entreprise/monceau-carrieres-francois-sanchez-consultants-423611128;https://annuaire-entreprises.data.gouv.fr/entreprise/423611128
80;75;PARIS;INTERIM.COM;;78.20Z;Fabienne VAUTHERIN;57;Président de SAS;5701403;216661;2023;3-5;2003-03-14;2;447921552;15 RUE CHAUDRON 75010 PARIS;https://www.pappers.fr/entreprise/interim-com-447921552;https://annuaire-entreprises.data.gouv.fr/entreprise/447921552
80;75;PARIS;SBC EMPLOI;;78.20Z;Albert SULTAN;66;Directeur Général;1518460;33116;2025;1-2;2014-12-01;6;808450134;13 BOULEVARD DE COURCELLES 75008 PARIS;https://www.pappers.fr/entreprise/sbc-emploi-808450134;https://annuaire-entreprises.data.gouv.fr/entreprise/808450134
80;75;PARIS;LCI PARIS;INSTEAD INTERIM - AIDINTER;78.20Z;Albert SULTAN;66;Directeur Général;1418033;56216;2025;1-2;2011-10-11;8;535381982;13 BOULEVARD DE COURCELLES 75008 PARIS;https://www.pappers.fr/entreprise/lci-paris-aidinter-535381982;https://annuaire-entreprises.data.gouv.fr/entreprise/535381982
80;75;PARIS;B REICREMEL ET ASSOCIES;;78.10Z;Brigitte Michele Jacqueline LEMERCIER;75;Gérant;1207729;16014;2022;n.r.;1996-05-21;2;407491075;15 AVENUE DE L'OBSERVATOIRE 75006 PARIS;https://www.pappers.fr/entreprise/b-reicremel-et-associes-407491075;https://annuaire-entreprises.data.gouv.fr/entreprise/407491075
80;75;PARIS;SECOURS EMPLOI INTERIM;;78.20Z;Jacques HUILLARD;77;Président de SAS;1093320;-17131;2022;1-2;2012-11-01;3;788621563;137 RUE DE LA ROQUETTE 75011 PARIS;https://www.pappers.fr/entreprise/secours-emploi-interim-sei-788621563;https://annuaire-entreprises.data.gouv.fr/entreprise/788621563
78;75;PARIS;STAFFIZY;;78.20Z;Michel Arthur DERCKSEN;64;Personne ayant le pouvoir d’engager à titre habituel la société;37177684;509026;2024;10-19;2017-07-04;3;830788535;10 RUE DE ROME 75008 PARIS;https://www.pappers.fr/entreprise/staffizy-830788535;https://annuaire-entreprises.data.gouv.fr/entreprise/830788535
75;75;PARIS;MEDICOOP FRANCE;;78.20Z;Corinne Marcelle Jacqueline PITEL;56;Président de SAS;57338134;69962;2025;50-99;2015-12-28;59;815376801;73-75 73 RUE DE LA PLAINE 75020 PARIS;https://www.pappers.fr/entreprise/medicoop-france-815376801;https://annuaire-entreprises.data.gouv.fr/entreprise/815376801
75;75;PARIS;SAS PRICE INTER;PRICE INTER - PRICE INTERIM;78.20Z;Valerie SZPRYCER (AZOURA);56;Président de SAS;8533866;150612;2025;6-9;2008-03-01;1;502778723;93 BOULEVARD DE MAGENTA 75010 PARIS;https://www.pappers.fr/entreprise/sas-price-inter-502778723;https://annuaire-entreprises.data.gouv.fr/entreprise/502778723
75;75;PARIS;GR INTERIM & RECRUTEMENT;;78.20Z;Stephane ACTIS;51;Personne ayant le pouvoir d’engager à titre habituel la société;4785879;84101;2025;10-19;1980-01-01;4;317749182;4 RUE HALEVY 75009 PARIS;https://www.pappers.fr/entreprise/gr-interim-recrutement-317749182;https://annuaire-entreprises.data.gouv.fr/entreprise/317749182
75;75;PARIS;AB'Z INTERIM;;78.20Z;Stephane TAIEB;56;Gérant;4396443;82369;2021;10-19;1999-12-03;4;428218523;137 RUE LA FAYETTE 75010 PARIS;https://www.pappers.fr/entreprise/ab-z-interim-428218523;https://annuaire-entreprises.data.gouv.fr/entreprise/428218523
75;75;PARIS;RECRUTOP PARIS CENTRE;ACDI INTERIM;78.20Z;Richard GRIVAUD;56;Gérant;3953823;-5070;2025;1-2;2001-06-18;9;438198418;141 AVENUE DE CLICHY 75017 PARIS;https://www.pappers.fr/entreprise/recrutop-paris-centre-438198418;https://annuaire-entreprises.data.gouv.fr/entreprise/438198418
75;75;PARIS;LMDC;;78.20Z;Raphael LINOSSIER;53;Président de SAS;2942705;-79271;2020;10-19;2004-12-17;2;479971046;12 PLACE DE LA BASTILLE 75011 PARIS;https://www.pappers.fr/entreprise/lmdc-479971046;https://annuaire-entreprises.data.gouv.fr/entreprise/479971046
75;75;PARIS;COMPAS SERVICES;;78.20Z;Frederic THILLAYE;59;Président de SAS;2700699;180844;2024;1-2;2004-08-02;2;477996995;6-8 6 RUE CANNEBIERE 75012 PARIS;https://www.pappers.fr/entreprise/compas-services-477996995;https://annuaire-entreprises.data.gouv.fr/entreprise/477996995
75;75;PARIS;E. JOB SAS;EUROLABOR - ORIS;78.20Z;Richard VALPARAISO;63;Président de SAS;2300089;-195824;2018;n.r.;2013-09-20;3;798120036;96 RUE LA FAYETTE 75010 PARIS;https://www.pappers.fr/entreprise/e-job-sas-798120036;https://annuaire-entreprises.data.gouv.fr/entreprise/798120036
75;75;PARIS;MERCURI URVAL;;78.10Z;Anna Maria Ulrika NERGARD;56;Président de SAS;2204950;69667;2025;6-9;1980-07-01;26;319416681;25 RUE DU QUATRE SEPTEMBRE 75002 PARIS;https://www.pappers.fr/entreprise/mercuri-urval-319416681;https://annuaire-entreprises.data.gouv.fr/entreprise/319416681
75;75;PARIS;SOCIETE FRANCAISE D'INTERVENTION;;78.20Z;Frederic THILLAYE;59;Gérant;2183163;8901;2024;1-2;1995-10-24;2;402618748;3 RUE GERBIER 75011 PARIS;https://www.pappers.fr/entreprise/societe-francaise-d-intervention-sfi-402618748;https://annuaire-entreprises.data.gouv.fr/entreprise/402618748
75;75;PARIS;SARL DYNAMITE;;78.10Z;Laurent PIALET;51;Gérant;2012083;-66541;2023;3-5;1983-04-01;3;327095626;41 RUE GODOT DE MAUROY 75009 PARIS;https://www.pappers.fr/entreprise/sarl-dynamite-327095626;https://annuaire-entreprises.data.gouv.fr/entreprise/327095626
75;75;PARIS;XALYS INTERIM;;78.20Z;Marc BERNEDE;60;Président de SAS;1325977;78628;2024;1-2;2005-10-31;2;484835087;32 RUE YVES TOUDIC 75010 PARIS;https://www.pappers.fr/entreprise/xalys-interim-484835087;https://annuaire-entreprises.data.gouv.fr/entreprise/484835087
75;75;PARIS;INX INTERNATIONAL FRANCE SAS;;78.30Z;Nicolas Georges SAGALOW;63;Directeur Général;1252946;41652;2025;6-9;2004-05-17;5;453761033;9 BOULEVARD GOUVION-SAINT-CYR 75017 PARIS;https://www.pappers.fr/entreprise/inx-international-france-sas-453761033;https://annuaire-entreprises.data.gouv.fr/entreprise/453761033
75;75;PARIS;AJ CONSEIL;;78.10Z;Alain JACOB;79;Président de SAS;523947;22114;2017;6-9;1993-04-05;4;390586196;5 RUE DU HELDER 75009 PARIS;https://www.pappers.fr/entreprise/aj-conseil-390586196;https://annuaire-entreprises.data.gouv.fr/entreprise/390586196
75;75;PARIS;SEARCH PARTNERS INTERNATIONAL;;78.10Z;Thierry Paul Michel ROHMER;80;Président de SAS;465000;1585;2024;1-2;1993-04-01;3;390810075;20 RUE CAMBON 75001 PARIS;https://www.pappers.fr/entreprise/search-partners-international-390810075;https://annuaire-entreprises.data.gouv.fr/entreprise/390810075
75;75;PARIS;MEDIA ACTEURS PUB;STUDIO VIVIENNE;78.10Z;Jean-Luc Bernard DARIER;71;Président de SAS;433536;27431;2018;1-2;1994-03-07;4;394390413;26 RUE DE CHAMBERY 75015 PARIS;https://www.pappers.fr/entreprise/media-acteurs-pub-map-394390413;https://annuaire-entreprises.data.gouv.fr/entreprise/394390413
75;75;PARIS;YVES KERNEVEZ CONSEIL;;78.30Z;Yves Jacques Maurice KERNEVEZ;75;Président de SAS;329544;65795;2021;1-2;1980-08-01;8;319624797;11 RUE DE MAGDEBOURG 75016 PARIS;https://www.pappers.fr/entreprise/yves-kernevez-conseil-ema-partners-france-319624797;https://annuaire-entreprises.data.gouv.fr/entreprise/319624797
75;75;PARIS;PRESTIGE SERVICES;;78.10Z;Michel Lucien Marie TIROUFLET;74;Président de SAS;124303;27432;2016;1-2;1994-12-26;4;399532027;20 RUE DES CAPUCINES 75002 PARIS;https://www.pappers.fr/entreprise/prestige-services-399532027;https://annuaire-entreprises.data.gouv.fr/entreprise/399532027
75;75;PARIS;ARDP;ARDP;78.30Z;Jean GARCIA;73;Président de SAS;;;;3-5;1957-01-01;5;572082071;30 RUE DELAMBRE 75014 PARIS;https://www.pappers.fr/entreprise/ardp-ardp-emmarp-572082071;https://annuaire-entreprises.data.gouv.fr/entreprise/572082071
75;75;PARIS;OMNIUM DESSIN INDUSTR BATIM;;78.20Z;Myriam GRANDRY;68;Président de SAS;;-98853;2025;6-9;1959-01-01;4;592069520;28 RUE DE BELZUNCE 75010 PARIS;https://www.pappers.fr/entreprise/omnium-dessin-industr-batim-odib-592069520;https://annuaire-entreprises.data.gouv.fr/entreprise/592069520
75;75;PARIS;CHARRETTE SERVICE;;78.20Z;Viviane SARFATI (ZERAH);79;Président du conseil d’administration et directeur général;;270710;2024;6-9;1975-01-01;3;304141625;42 RUE DE LABORDE 75008 PARIS;https://www.pappers.fr/entreprise/charrette-service-304141625;https://annuaire-entreprises.data.gouv.fr/entreprise/304141625
75;75;PARIS;MBC CONSULTING;;78.10Z;Bernadette MILERS;68;Président de SAS;;;;3-5;2006-02-16;8;488716150;38 RUE DES MATHURINS 75008 PARIS;https://www.pappers.fr/entreprise/mbc-consulting-488716150;https://annuaire-entreprises.data.gouv.fr/entreprise/488716150
75;75;PARIS;ELINESS;;78.20Z;Viviane DUKAN (AZOULAY);80;Administrateur;;44757;2025;6-9;1979-01-01;3;316655331;BATIMENT D 94 RUE SAINT-LAZARE 75009 PARIS;https://www.pappers.fr/entreprise/eliness-316655331;https://annuaire-entreprises.data.gouv.fr/entreprise/316655331
75;75;PARIS;OBJECTIF 92;;78.20Z;Viviane ZERAH (SARFATI);79;Président du conseil d’administration et directeur général;;1028748;2024;6-9;1987-12-11;2;343243762;7 RUE ROY 75008 PARIS;https://www.pappers.fr/entreprise/objectif-92-343243762;https://annuaire-entreprises.data.gouv.fr/entreprise/343243762
75;75;PARIS;MAGINTER;;78.20Z;Nelly Evelyne DARRAS (SPORTICHE);75;Président de SAS;;50385;2025;3-5;1993-03-22;3;390586758;9 RUE CONDORCET 75009 PARIS;https://www.pappers.fr/entreprise/maginter-390586758;https://annuaire-entreprises.data.gouv.fr/entreprise/390586758
75;75;PARIS;MECATRANS INDUSTRIE;;78.20Z;Alain SCHEIRE;68;Président de SAS;;69791;2024;1-2;1999-02-01;1;421699620;112 BOULEVARD RICHARD LENOIR 75011 PARIS;https://www.pappers.fr/entreprise/mecatrans-industrie-421699620;https://annuaire-entreprises.data.gouv.fr/entreprise/421699620
75;75;PARIS;BPS INTERIM;;78.20Z;Jean-Jacques SORRIAUX;70;Président de SAS;;293730;2025;3-5;1997-11-03;1;414295055;45 BOULEVARD DE MAGENTA 75010 PARIS;https://www.pappers.fr/entreprise/bps-interim-414295055;https://annuaire-entreprises.data.gouv.fr/entreprise/414295055
75;75;PARIS;BF PARTNERS;;78.10Z;Bertrand FOUJOLS;73;Autre;;94021;2025;3-5;1993-06-03;3;391751971;57 RUE PIERRE CHARRON 75008 PARIS;https://www.pappers.fr/entreprise/bf-partners-boyden-france-391751971;https://annuaire-entreprises.data.gouv.fr/entreprise/391751971
75;75;PARIS;HEXA PREST;;78.20Z;Olivier James Achille NEYT;69;Président de SAS;;;;1-2;1982-08-01;2;325742740;24 RUE DE PARADIS 75010 PARIS;https://www.pappers.fr/entreprise/hexa-prest-325742740;https://annuaire-entreprises.data.gouv.fr/entreprise/325742740
75;75;PARIS;EGGO;;78.10Z;Orly DAHAN;74;Gérant;;;;1-2;1987-01-05;2;339889966;10 RUE DE POUY 75013 PARIS;https://www.pappers.fr/entreprise/eggo-339889966;https://annuaire-entreprises.data.gouv.fr/entreprise/339889966
75;75;PARIS;SILENT;SILENT;78.10Z;Vincent PETER;69;Gérant;;;;10-19;2006-02-01;3;488300203;80 AVENUE D'IENA 75016 PARIS;https://www.pappers.fr/entreprise/silent-silent-488300203;https://annuaire-entreprises.data.gouv.fr/entreprise/488300203
75;75;PARIS;PROGRESS;;78.10Z;Alain Henri Georges PRESTAT;75;Administrateur;;49725;2024;20-49;1986-12-24;2;339739054;2 RUE DE LA PAIX 75002 PARIS;https://www.pappers.fr/entreprise/progress-339739054;https://annuaire-entreprises.data.gouv.fr/entreprise/339739054
75;75;PARIS;CRITERE;;78.10Z;Monique LABBE (PANATTONI);79;Président de SAS;;499997;2024;3-5;1987-04-12;2;340605260;31 RUE BOISSIERE 75016 PARIS;https://www.pappers.fr/entreprise/critere-340605260;https://annuaire-entreprises.data.gouv.fr/entreprise/340605260
75;75;PARIS;NB LEMERCIER ET ASSOCIES;;78.30Z;Brigitte LEMERCIER;75;Gérant;;1;2024;6-9;2006-03-15;2;489219816;15 AVENUE DE L'OBSERVATOIRE 75006 PARIS;https://www.pappers.fr/entreprise/nb-lemercier-et-associes-489219816;https://annuaire-entreprises.data.gouv.fr/entreprise/489219816
75;75;PARIS;EUROPEENNES;;78.30Z;Antoine Marie Regis GETTEN;68;Président de SAS;;;;6-9;1993-02-15;1;390369130;48 RUE DE LONDRES 75008 PARIS;https://www.pappers.fr/entreprise/europeennes-390369130;https://annuaire-entreprises.data.gouv.fr/entreprise/390369130
75;75;PARIS;ALLO MEDIC ASSISTANCE;;78.20Z;Alice ABECASSIS (CHOUKROUN);76;Directeur Général;;;;3-5;1994-02-01;3;394070320;24 PLACE RAOUL FOLLEREAU 75010 PARIS;https://www.pappers.fr/entreprise/allo-medic-assistance-394070320;https://annuaire-entreprises.data.gouv.fr/entreprise/394070320
75;75;PARIS;NEXT MANAGEMENT PARIS;;78.10Z;Joel WILKENFELD;67;Gérant;;;;20-49;1996-09-02;3;408231785;9 BOULEVARD DE LA MADELEINE 75001 PARIS;https://www.pappers.fr/entreprise/next-management-paris-408231785;https://annuaire-entreprises.data.gouv.fr/entreprise/408231785
75;75;PARIS;SINGER & HAMILTON;SINGER & HAMILTON;78.10Z;Eric Richard SINGER;69;Administrateur;;209280;2023;10-19;1989-02-01;2;350063467;40 RUE LA PEROUSE 75016 PARIS;https://www.pappers.fr/entreprise/singer-hamilton-odgers-350063467;https://annuaire-entreprises.data.gouv.fr/entreprise/350063467
75;75;PARIS;BATIPRO ETT;;78.20Z;Viviane ZERAH (SARFATI);79;Directeur général délégué;;335298;2024;6-9;2002-04-01;2;441165586;13 RUE LA BOETIE 75008 PARIS;https://www.pappers.fr/entreprise/batipro-ett-441165586;https://annuaire-entreprises.data.gouv.fr/entreprise/441165586
70;75;PARIS;TARGETT;;78.20Z;Hristina NICOLAS-NELSON (KRASTEVA);54;Président de SAS;12717587;423032;2017;n.r.;2014-12-23;8;808696645;13 B AVENUE DE LA MOTTE-PICQUET 75007 PARIS;https://www.pappers.fr/entreprise/targett-808696645;https://annuaire-entreprises.data.gouv.fr/entreprise/808696645
70;75;PARIS;STAFOTEL INTERIM SAS;;78.20Z;Mohamad EL MALLA;56;Président de SAS;6866516;37480;2025;n.r.;2016-05-02;2;819803594;BUREAU 326 78 AVENUE DES CHAMPS ELYSEES 75008 PARIS;https://www.pappers.fr/entreprise/stafotel-interim-sas-819803594;https://annuaire-entreprises.data.gouv.fr/entreprise/819803594
70;75;PARIS;IPF JOBS;;78.20Z;Pawel Krzysztof FECKO;50;Gérant;2720041;-22525;2024;6-9;2016-06-08;3;821135092;10 AVENUE GEORGE V 75008 PARIS;https://www.pappers.fr/entreprise/ipf-jobs-821135092;https://annuaire-entreprises.data.gouv.fr/entreprise/821135092
70;75;PARIS;RECRUTOP OUEST;;78.20Z;Richard GRIVAUD;56;Gérant;2540768;1479;2025;10-19;2012-06-18;10;752716688;141 AVENUE DE CLICHY 75017 PARIS;https://www.pappers.fr/entreprise/recrutop-ouest-752716688;https://annuaire-entreprises.data.gouv.fr/entreprise/752716688
70;75;PARIS;RECRUTOP;;78.20Z;Richard GRIVAUD;56;Gérant;2136736;-38864;2025;6-9;2008-02-01;3;502730971;141 AVENUE DE CLICHY 75017 PARIS;https://www.pappers.fr/entreprise/recrutop-502730971;https://annuaire-entreprises.data.gouv.fr/entreprise/502730971
70;75;PARIS;SBC GROS OEUVRE;;78.20Z;Albert SULTAN;66;Directeur Général;690507;-74249;2025;3-5;2009-12-15;3;519260749;13 BOULEVARD DE COURCELLES 75008 PARIS;https://www.pappers.fr/entreprise/sbc-gros-oeuvre-519260749;https://annuaire-entreprises.data.gouv.fr/entreprise/519260749
70;75;PARIS;PALMER INTERNATIONAL SA;;78.10Z;Christophe AUBRY;67;Gérant;536981;-22186;2019;0;1995-02-01;4;400150918;124 B AVENUE DE VILLIERS 75017 PARIS;https://www.pappers.fr/entreprise/palmer-international-sa-400150918;https://annuaire-entreprises.data.gouv.fr/entreprise/400150918
70;75;PARIS;CHRISTIAN LEVISTRE COMMUNICATION CONSULT;;78.10Z;Christian LEVISTRE;77;Gérant;330000;324602;2025;n.r.;1994-07-06;4;397785734;C/O 3C 29 RUE JOUBERT 75009 PARIS;https://www.pappers.fr/entreprise/christian-levistre-communication-consult-397785734;https://annuaire-entreprises.data.gouv.fr/entreprise/397785734
70;75;PARIS;FD ASSOCIATES;;78.10Z;Franck DUVAL;78;Gérant;287375;2989;2019;n.r.;1993-09-01;6;392044954;10 RUE CLAUDE TERRASSE 75016 PARIS;https://www.pappers.fr/entreprise/fd-associates-fd-a-392044954;https://annuaire-entreprises.data.gouv.fr/entreprise/392044954
